Date,Dollar,Pound,Euro
2021-12-16,112.9235,149.3724,127.5679
2021-12-17,112.9559,149.5988,127.375
2021-12-19,113.0059,150.4121,127.8721
2021-12-20,113.0265,150.3759,127.9747
2021-12-21,113.0441,149.6976,127.5262
2021-12-22,113.0471,149.8026,127.6306
2021-12-23,113.0794,151.045,127.9538
2021-12-24,113.0794,151.045,127.9538
2021-12-25,113.0794,151.045,127.9538
2021-12-26,113.0794,151.045,127.9538
2021-12-27,113.0794,151.045,127.9538
2021-12-28,113.1,151.2512,128.1188
2021-12-29,113.1059,151.6124,128.0856
2021-12-30,113.1265,151.7212,127.8785
2021-12-31,113.1412,152.0538,127.9932
2022-01-01,113.1412,152.0538,127.9932
2022-01-02,113.1412,152.0538,127.9932
2022-01-03,113.1382,152.3362,128.0897
2022-01-04,113.1559,152.4871,128.2671
2022-01-05,113.1735,152.5168,127.8794
2022-01-06,113.1853,152.9909,128.065
2022-01-07,113.2206,153.1135,128.0379
2022-01-08,113.2206,153.1135,128.0379
2022-01-10,113.2206,153.1135,128.0379
2022-01-11,113.2382,153.2485,128.0182
2022-01-12,113.3118,153.8135,128.4209
2022-01-13,113.3329,154.2744,128.7624
2022-01-15,113.3676,155.1326,129.4921
2022-01-16,113.3676,155.1326,129.4921
2022-01-17,113.3941,155.0606,129.5079
2022-01-18,113.4147,154.6474,129.2859
2022-01-19,113.4676,154.3244,129.2059
2022-01-20,113.5,154.5668,128.6988
2022-01-21,113.5176,154.2982,128.7424
2022-01-22,113.5176,154.2982,128.7424
2022-01-24,113.5294,153.9971,128.7115
2022-01-25,113.5382,153.535,128.5247
2022-01-27,113.5471,153.16,128.1053
2022-01-30,113.5706,152.6029,127.3735
2022-02-01,113.5765,152.5824,127.1009
2022-02-02,113.5765,152.8794,127.6376
2022-02-03,113.5865,153.3412,128.0462
2022-02-05,113.6029,153.6479,128.0776
2022-02-07,113.6088,153.7853,129.305
2022-02-08,113.6206,153.5612,129.2729
2022-02-11,113.6265,153.8541,129.6138
2022-02-14,113.6265,153.8541,129.6138
2022-02-15,113.6294,153.6891,129
2022-02-16,113.6353,153.8129,129.0685
2022-02-17,113.6382,153.8718,129.2485
2022-02-18,113.6735,154.3015,129.2244
2022-02-21,113.6882,154.3968,129.0818
2022-02-22,113.6941,154.4291,128.9929
2022-02-24,113.8,154.7103,129.1156
2022-02-26,113.8206,152.8926,127.7638
2022-02-28,113.8353,152.6794,127.6453
2022-03-02,113.8412,152.7197,127.7291
2022-03-03,113.8529,152.8182,127.7253
2022-03-05,113.9147,152.4115,126.7262
2022-03-07,113.9471,151.8965,125.6344
2022-03-08,114.0129,150.75,124.59
2022-03-09,114.0753,150.1944,124.7462
2022-03-10,114.1353,150.0571,124.9891
2022-03-14,114.1853,150.5582,126.2012
2022-03-15,114.2324,150.0415,125.805
2022-03-16,114.2865,149.7074,125.8426
2022-03-17,114.3144,149.8271,125.9526
2022-03-18,114.3806,150.4456,126.3971
2022-03-23,114.4971,151.3297,126.0109
2022-03-24,114.6,151.4982,125.9694
2022-03-25,114.6853,151.3032,125.9412
2022-03-28,114.7529,151.4079,126.3309
2022-03-29,114.825,151.0572,126.14
2022-04-01,114.9513,151.1268,127.8018
2022-04-04,115.0375,150.8935,127.105
2022-04-05,115.0969,150.9524,126.7059
2022-04-06,115.1206,151.155,126.4574
2022-04-07,115.1941,150.8544,125.8965
2022-04-12,115.3765,150.3391,125.7674
2022-04-14,115.4382,150.3085,125.1629
2022-04-16,115.4382,150.3085,125.1629
2022-04-19,115.4847,151.3844,125.4838
2022-04-20,115.5441,150.8771,125.2621
2022-04-21,115.5441,150.8771,125.2621
2022-04-22,115.5971,150.8865,125.6624
2022-04-25,115.5971,150.8865,125.6624
2022-04-25,115.6529,149.4556,125.0882
2022-04-27,115.7412,147.3400,123.8074
2022-04-28,115.7735,146.0897,122.8294
2022-04-28,115.7735,146.0897,122.8294
2022-05-01,115.7735,146.0897,122.8294
2022-05-02,115.7735,146.0897,122.8294
2022-05-04,115.8059,145.3526,122.1359
2022-05-05,115.8441,145.5100,122.0379
2022-05-10,115.9459,143.9691,122.3615
2022-05-16,116.1735,142.6091,121.1082
2022-05-17,116.2441,142.9882,121.2071
2022-05-18,116.2441,142.9882,121.2071
2022-05-19,116.3735,144.9221,122.3385
2022-05-23,116.4706,145.6768,123.1582
2022-05-24,116.5176,146.5468,123.8694
2022-05-25,116.5794,146.1568,124.5821
2022-05-28,116.6868,147.1265,124.7635
2022-05-31,116.7382,147.4479,125.5976
2022-06-02,116.8100,147.2074,125.0865
2022-06-03,116.8306,146.9094,124.9650
2022-06-06,116.8482,146.9826,125.2668
2022-06-07,116.9000,146.9359,125.4009
2022-06-08,116.9500,146.5035,124.9197
2022-06-09,117.0100,147.0700,125.3159
2022-06-10,117.0471,146.9444,125.3362
2022-06-13,117.1000,146.4394,124.4741
2022-06-14,117.1676,144.0906,123.0994
2022-06-15,117.2353,142.5818,122.8385
